City;Time;Temperature
Trondheim;aug.20;14,2
Trondheim;sep.20;10,5
Trondheim;okt.20;6,7
Trondheim;nov.20;4,8
Trondheim;des.20;2,5
Trondheim;jan.21;-5,4
Trondheim;feb.21;-4
Trondheim;mar.21;2,3
Trondheim;apr.21;3
Trondheim;mai.21;9
Trondheim;jun.21;14
Trondheim;jul.21;17,3
Trondheim;aug.21;12,9
Trondheim;sep.21;10,8
Trondheim;okt.21;7,9
Trondheim;nov.21;1,1
Trondheim;des.21;-1,6
Trondheim;jan.22;0,4
Trondheim;feb.22;-0,2
Trondheim;mar.22;3,6
Trondheim;apr.22;3,7
Trondheim;mai.22;8,8
Trondheim;jun.22;13,4
Trondheim;jul.22;13,2
Trondheim;aug.22;14,1
Trondheim;sep.22;10,5
Trondheim;okt.22;7
Trondheim;nov.22;3,9
Trondheim;des.22;-3,7
Trondheim;jan.23;-0,2
Trondheim;feb.23;0,5
Trondheim;mar.23;-2,2
Trondheim;apr.23;4,4
Trondheim;mai.23;8,6
Trondheim;jun.23;14,7
Trondheim;jul.23;15,2
Trondheim;aug.23;14,7
Trondheim;sep.23;11,7
Trondheim;okt.23;3,5
Trondheim;nov.23;-3,3
Trondheim;des.23;-4,9
Trondheim;jan.24;-2,6
Trondheim;feb.24;-0,9
Trondheim;mar.24;3,1
Trondheim;apr.24;4,3
Trondheim;mai.24;14,7
Trondheim;jun.24;13,3
Trondheim;jul.24;14,9
Trondheim;aug.24;14,7
Trondheim;sep.24;10,8
Trondheim;okt.24;6,7
Trondheim;nov.24;2,1
Trondheim;des.24;1
Trondheim;jan.25;-0,8
Trondheim;feb.25;0,7
Trondheim;mar.25;3,3
Trondheim;apr.25;6
Trondheim;mai.25;7,8
Trondheim;jun.25;12,3
Trondheim;jul.25;18,9
Trondheim;aug.25;15,1
Ålesund;aug.20;15,3
Ålesund;sep.20;11,8
Ålesund;okt.20;8,5
Ålesund;nov.20;7,6
Ålesund;des.20;4,7
Ålesund;jan.21;0,1
Ålesund;feb.21;1,9
Ålesund;mar.21;5
Ålesund;apr.21;4,5
Ålesund;mai.21;9,7
Ålesund;jun.21;13,7
Ålesund;jul.21;16,3
Ålesund;aug.21;14,5
Ålesund;sep.21;13,2
Ålesund;okt.21;10,1
Ålesund;nov.21;5,5
Ålesund;des.21;2,8
Ålesund;jan.22;4
Ålesund;feb.22;3,3
Ålesund;mar.22;6,7
Ålesund;apr.22;5,6
Ålesund;mai.22;9,7
Ålesund;jun.22;13,3
Ålesund;jul.22;13,7
Ålesund;aug.22;14,4
Ålesund;sep.22;12,3
Ålesund;okt.22;9,8
Ålesund;nov.22;8,5
Ålesund;des.22;0,9
Ålesund;jan.23;4,1
Ålesund;feb.23;4,5
Ålesund;mar.23;1,1
Ålesund;apr.23;6,7
Ålesund;mai.23;9,4
Ålesund;jun.23;13,8
Ålesund;jul.23;15
Ålesund;aug.23;14,7
Ålesund;sep.23;13,5
Ålesund;okt.23;7
Ålesund;nov.23;3,1
Ålesund;des.23;1,6
Ålesund;jan.24;2,6
Ålesund;feb.24;3
Ålesund;mar.24;5,4
Ålesund;apr.24;6,5
Ålesund;mai.24;13,8
Ålesund;jun.24;13
Ålesund;jul.24;14,9
Ålesund;aug.24;15,1
Ålesund;sep.24;12,2
Ålesund;okt.24;9,4
Ålesund;nov.24;6
Ålesund;des.24;5,2
Ålesund;jan.25;3,1
Ålesund;feb.25;4,8
Ålesund;mar.25;6,1
Ålesund;apr.25;8,1
Ålesund;mai.25;9,3
Ålesund;aug.25;15,6
Gjøvik;aug.20;16,3
Gjøvik;sep.20;11,8
Gjøvik;okt.20;7,2
Gjøvik;nov.20;3,8
Gjøvik;des.20;0,7
Gjøvik;jan.21;-8,3
Gjøvik;feb.21;-6,1
Gjøvik;mar.21;1,5
Gjøvik;apr.21;4
Gjøvik;mai.21;8,9
Gjøvik;jun.21;16,5
Gjøvik;jul.21;18
Gjøvik;aug.21;14,9
Gjøvik;sep.21;11,8
Gjøvik;okt.21;8
Gjøvik;nov.21;1,3
Gjøvik;des.21;-5
Gjøvik;jan.22;-2,5
Gjøvik;feb.22;-2,1
Gjøvik;mar.22;-0,3
Gjøvik;apr.22;4,5
Gjøvik;mai.22;9,4
Gjøvik;jun.22;15,6
Gjøvik;jul.22;15,9
Gjøvik;aug.22;16,1
Gjøvik;sep.22;11
Gjøvik;okt.22;6,8
Gjøvik;nov.22;3,5
Gjøvik;des.22;-6,8
Gjøvik;jan.23;-4,5
Gjøvik;feb.23;-2,9
Gjøvik;mar.23;-2,7
Gjøvik;apr.23;3
Gjøvik;mai.23;9,3
Gjøvik;jun.23;17,3
Gjøvik;jul.23;15,8
Gjøvik;aug.23;15,1
Gjøvik;sep.23;13,4
Gjøvik;okt.23;4,4
Gjøvik;nov.23;-2,1
Gjøvik;des.23;-7,6
Gjøvik;jan.24;-9,7
Gjøvik;feb.24;-5,6
Gjøvik;mar.24;0,4
Gjøvik;apr.24;4
Gjøvik;mai.24;13,9
Gjøvik;jun.24;14,2
Gjøvik;jul.24;16
Gjøvik;aug.24;15,5
Gjøvik;sep.24;11,3
Gjøvik;okt.24;7,5
Gjøvik;nov.24;1
Gjøvik;des.24;-1,4
Gjøvik;jan.25;-4,7
Gjøvik;feb.25;-4,3
Gjøvik;mar.25;3,1
Gjøvik;apr.25;7,2
Gjøvik;mai.25;10,8
Gjøvik;jun.25;13,7
Gjøvik;jul.25;18,8
Gjøvik;aug.25;16,6
